2022-02-06 21:41:39,449 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-06 21:41:39,449 | MainThread   | [INFO    ] | <module>            |: info
2022-02-06 21:41:39,450 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-06 21:41:39,451 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-06 21:41:39,451 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-06 21:49:49,093 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-06 21:49:49,093 | MainThread   | [INFO    ] | <module>            |: info
2022-02-06 21:49:49,094 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-06 21:49:49,094 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-06 21:49:49,095 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-06 21:50:23,283 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-06 21:50:23,284 | MainThread   | [INFO    ] | <module>            |: info
2022-02-06 21:50:23,284 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-06 21:50:23,285 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-06 21:50:23,285 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-06 21:50:46,092 | MainThread   | [DEBUG   ] | <module>            |: dd
2022-02-06 21:50:46,092 | MainThread   | [INFO    ] | <module>            |: info
2022-02-06 21:50:46,093 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-06 21:50:46,093 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-06 21:50:46,094 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-06 21:50:49,757 | MainThread   | [DEBUG   ] | <module>            |: dd
2022-02-06 21:50:49,757 | MainThread   | [INFO    ] | <module>            |: ifo
2022-02-06 21:50:49,758 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-06 21:50:49,758 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-06 21:50:49,759 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-06 21:54:01,748 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-02-06 21:54:01,748 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-arm64-arm-64bit
2022-02-06 21:54:01,748 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2022-02-06 21:54:11,462 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2022-02-06 21:54:14,180 | MainThread   | [INFO    ] | _connect            |: Connected to C0:C2:8A:89:98:08
2022-02-06 21:57:45,387 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-02-06 21:57:54,821 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 21:58:04,000 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-06 21:58:06,514 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-06 21:58:40,293 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 22:00:23,895 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:45
2022-02-06 22:00:26,429 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:45
2022-02-06 22:00:32,521 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDF26633-3D2D-8099-6EFD-F4BC1E8B0389
2022-02-06 22:02:29,104 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:45
2022-02-06 22:02:31,602 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:45
2022-02-06 22:03:47,310 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDF26633-3D2D-8099-6EFD-F4BC1E8B0389
2022-02-06 22:04:36,983 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-06 22:04:39,478 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-06 22:05:51,582 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 22:08:00,380 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-06 22:08:03,215 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-06 22:08:12,559 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 22:08:59,441 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:45
2022-02-06 22:09:01,912 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:45
2022-02-06 22:09:19,207 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 22:10:05,277 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-06 22:10:07,821 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-06 22:22:12,505 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 22:23:42,061 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-06 22:23:44,556 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-06 22:35:55,249 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-06 22:53:13,582 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-06 22:53:16,122 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-07 00:12:55,282 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-07 00:17:05,126 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-02-07 00:17:05,128 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-02-07 00:17:05,128 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-02-08 21:24:36,476 | MainThread   | [DEBUG   ] | <module>            |: dd
2022-02-08 21:24:36,476 | MainThread   | [INFO    ] | <module>            |: ifo
2022-02-08 21:24:36,477 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-08 21:24:36,477 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-08 21:24:36,477 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-08 21:24:42,155 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-02-08 21:24:42,156 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-arm64-arm-64bit
2022-02-08 21:24:42,156 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 21:24:44,620 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 21:29:59,483 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 21:30:37,782 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 21:30:40,304 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 21:47:43,581 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 21:49:54,323 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 21:49:56,804 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 21:53:01,392 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 21:53:36,205 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 21:53:38,691 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 22:13:28,382 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 22:16:29,671 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
